# EMAIL	DOMAIN	SOURCE
partnerships@cocolab.com	cocolab.com	https://www.shopify.com/blog/shopify-stores
press@cocolab.com	cocolab.com	https://www.shopify.com/blog/shopify-stores
dental@cocolab.com	cocolab.com	https://www.shopify.com/blog/shopify-stores
help@cocolab.com	cocolab.com	https://www.shopify.com/blog/shopify-stores
blue@unitedbyblue.com	unitedbyblue.com	https://www.shopify.com/blog/shopify-stores
customerservice@lunchskins.com	lunchskins.com	https://www.shopify.com/blog/shopify-stores
hello@velasca.com	velasca.com	https://www.shopify.com/blog/shopify-stores
customercare@manitobah.ca	manitobah.ca	https://www.shopify.com/blog/shopify-stores
user@domain.com	domain.com	https://www.shopify.com/blog/shopify-stores
hello@cowboy.com	cowboy.com	https://www.shopify.com/blog/shopify-stores
u003ehello@cowboy.com	cowboy.com	https://www.shopify.com/blog/shopify-stores
u003epartner@cowboy.com	cowboy.com	https://www.shopify.com/blog/shopify-stores
u003erecallteam@cowboy.com	cowboy.com	https://www.shopify.com/blog/shopify-stores
u003epress@cowboy.com	cowboy.com	https://www.shopify.com/blog/shopify-stores
recallteam@cowboy.com	cowboy.com	https://www.shopify.com/blog/shopify-stores
hello@sokoglam.com	sokoglam.com	https://www.shopify.com/blog/shopify-stores
press@sokoglam.com	sokoglam.com	https://www.shopify.com/blog/shopify-stores
hello@madeincookware.com	madeincookware.com	https://www.shopify.com/blog/shopify-stores
example@email.com	email.com	https://www.shopify.com/blog/shopify-stores
abc@xyz.com	xyz.com	https://www.shopify.com/blog/shopify-stores
info@suta.in	suta.in	https://www.shopify.com/blog/shopify-stores
office@terrebleu.ca	terrebleu.ca	https://www.shopify.com/blog/shopify-stores
hello@yeungmancooking.com	yeungmancooking.com	https://www.shopify.com/blog/shopify-stores
charlotte@sokoglam.com	sokoglam.com	https://www.shopify.com/blog/shopify-stores
hello@thenimetyou.com	thenimetyou.com	https://www.shopify.com/blog/shopify-stores
press@thenimetyou.com	thenimetyou.com	https://www.shopify.com/blog/shopify-stores
your-email@example.com	example.com	https://www.shopify.com/blog/shopify-stores
press@flourist.com	flourist.com	https://www.shopify.com/blog/shopify-stores
orders@flourist.com	flourist.com	https://www.shopify.com/blog/shopify-stores
jobs@flourist.com	flourist.com	https://www.shopify.com/blog/shopify-stores
press@flourist.comfor	flourist.comfor	https://www.shopify.com/blog/shopify-stores
orders@flourist.comapply	flourist.comapply	https://www.shopify.com/blog/shopify-stores
info@flourist.com	flourist.com	https://www.shopify.com/blog/shopify-stores
